;2rbina2rista;basta;brb;eldzhey;face;feduk;gnoiny;guf;husky;kasta;korzh;krovostok;kunteynir;lizer;lsp;morgenshtern;noizemc;skriptonite;timati;xleb
('р', 'ы', 'х');0;23,29047885;0;0;68,27181284;91,97939662;40,5202804;59,1587624;77,50135627;112,6474978;219,2149183;32,97572986;0;133,5180333;0;0;45,70436134;304,1965904;0;0
('4', ' ', 'у');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('Л', 'А', '-');2667,555852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('т', 'м', 'о');0;23,29047885;0;58,19028222;0;0;13,50676013;0;0;21,12140584;0;0;0;0;21,27795391;0;22,85218067;13,22593871;0;0
(' ', '(', 'Я');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;32,39286061;0;13,22593871;0;0
('ь', 'ю', 'ч');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('л', 'б', 'ы');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
"('\n', '(', '""')";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,78572123;0;0;0;0
(' ', 'Д', 'ж');66,6888963;11,64523943;0;58,19028222;0;0;27,01352027;39,43917493;0;7,040468614;0;0;0;0;21,27795391;0;5,713045167;92,58157098;0;129,7774317
('к', 'о', '.');0;0;0;58,19028222;0;0;0;19,71958747;0;0;29,22865577;0;0;0;0;32,39286061;0;0;0;0
('у', ' ', '-');533,5111704;46,5809577;0;0;0;0;13,50676013;19,71958747;19,37533907;0;73,07163944;0;60,31908798;0;0;0;0;0;118,6098921;0
('…', ' ', 'Д');0;0;0;0;0;0;0;0;0;14,08093723;0;0;0;0;0;0;0;0;0;0
('Р', 'С', ' ');0;0;114,1422212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('ч', ' ', 'а');266,7555852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('-', 'х', 'м');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;13,22593871;0;0
('в', 'э', ' ');0;0;0;0;0;0;13,50676013;0;0;0;0;21,98381991;0;0;0;0;28,56522584;0;0;0
('О', 'д', 'о');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('е', 'о', 'с');0;0;0;0;0;0;0;0;0;0;43,84298366;10,99190995;0;16,68975416;0;0;0;0;0;0
('е', 'е', 'т');133,3777926;23,29047885;0;0;0;0;189,0946419;118,3175248;135,6273735;56,32374891;58,45731155;98,92718959;0;50,06926248;21,27795391;0;91,40872268;26,45187742;79,07326138;0
('р', 'з', 'я');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('А', 'б', 'о');0;11,64523943;0;0;0;0;0;0;0;0;0;21,98381991;0;0;21,27795391;0;0;13,22593871;0;0
('т', 'ы', 'м');66,6888963;69,87143656;114,1422212;58,19028222;22,75727095;91,97939662;13,50676013;118,3175248;426,2574595;42,24281168;189,9862625;153,8867394;0;0;191,5015852;32,39286061;102,834813;66,12969356;0;0
('й', 'п', 'е');0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,56522584;0;0;0
('Т', 'о', 'т');0;0;0;58,19028222;0;0;13,50676013;19,71958747;19,37533907;14,08093723;14,61432789;21,98381991;0;0;0;0;0;0;0;0
('е', 'з', '\n');0;0;0;0;0;0;40,5202804;0;19,37533907;42,24281168;0;32,97572986;0;0;0;0;5,713045167;0;0;0
('ё', 'т', 'с');66,6888963;81,51667598;114,1422212;116,3805644;159,3008966;0;67,53380067;39,43917493;19,37533907;77,44515475;58,45731155;10,99190995;150,7977199;116,8282791;127,6677235;0;91,40872268;26,45187742;118,6098921;0
('а', 'й', 'в');0;0;0;0;22,75727095;0;0;0;0;28,16187445;0;21,98381991;0;0;0;0;5,713045167;0;0;0
('ц', '\n', 'Д');0;0;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;0;145,4853258;0;0
('а', 'к', ',');66,6888963;244,5500279;0;232,7611289;45,5145419;91,97939662;67,53380067;236,6350496;19,37533907;84,48562336;73,07163944;241,822019;211,1168079;116,8282791;234,057493;226,7500243;114,2609033;290,9706516;118,6098921;64,88871585
('б', 'е', '!');1200,400133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;79,07326138;0
('К', 'а', 'п');66,6888963;11,64523943;0;58,19028222;22,75727095;0;13,50676013;0;0;0;0;0;30,15954399;0;127,6677235;0;34,278271;79,35563227;0;0
('л', 'н', 'у');0;11,64523943;0;0;68,27181284;0;0;0;0;21,12140584;58,45731155;10,99190995;0;33,37950832;148,9456774;32,39286061;0;66,12969356;39,53663069;0
('д', 'е', 'ч');0;0;0;0;0;0;13,50676013;0;19,37533907;7,040468614;0;0;0;0;0;0;0;0;0;0
('в', 'р', '\n');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('р', 'и', 'ч');333,4444815;209,6143097;228,2844424;58,19028222;68,27181284;91,97939662;94,54732093;59,1587624;58,12601721;112,6474978;102,3002952;120,9110095;60,31908798;350,4848374;106,3897696;64,78572123;91,40872268;410,0041;276,7564148;0
('п', 'е', '!');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('э', 'с', 'с');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('у', 'л', ':');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('Ш', 'а', 'н');0;0;0;0;22,75727095;0;0;19,71958747;0;0;0;0;0;0;21,27795391;0;28,56522584;0;39,53663069;0
('С', 'м', 'у');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('б', 'у', '\n');66,6888963;0;0;0;0;0;67,53380067;0;0;7,040468614;14,61432789;43,96763982;0;116,8282791;0;0;11,42609033;13,22593871;0;0
('у', 'л', 'л');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,22593871;0;0
('д', 'ш', 'у');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('р', 'ф', 'и');0;0;0;0;0;0;40,5202804;0;0;0;43,84298366;21,98381991;0;0;0;0;11,42609033;0;0;0
('(', 'Е', 'б');0;0;228,2844424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('т', ' ', '(');0;11,64523943;1027,279991;174,5708467;500,6599609;0;27,01352027;19,71958747;116,2520344;56,32374891;116,9146231;21,98381991;0;16,68975416;21,27795391;226,7500243;0;119,0334484;0;129,7774317
('С', 'л', 'ё');0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;16,68975416;0;0;0;13,22593871;0;0
('Д', 'Э', 'П');0;0;0;58,19028222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('е', 'з', 'к');0;23,29047885;0;0;0;91,97939662;13,50676013;19,71958747;19,37533907;7,040468614;14,61432789;87,93527963;0;0;0;0;17,1391355;0;0;0
('л', '\n', 'В');0;116,4523943;0;0;0;0;81,0405608;0;19,37533907;35,20234307;58,45731155;43,96763982;30,15954399;166,8975416;170,2236313;64,78572123;22,85218067;132,2593871;0;194,6661476
('ь', 'щ', 'и');0;0;0;0;0;0;0;0;0;7,040468614;0;54,95954977;30,15954399;0;0;0;11,42609033;0;0;0
('з', 'р', 'о');133,3777926;34,93571828;0;58,19028222;22,75727095;0;54,02704053;98,59793733;19,37533907;28,16187445;219,2149183;43,96763982;30,15954399;66,75901664;42,55590782;0;68,55654201;52,90375484;0;194,6661476
('о', 'к', 'н');600,2000667;116,4523943;0;174,5708467;68,27181284;183,9587932;135,0676013;78,87834986;406,8821204;140,8093723;263,057902;43,96763982;30,15954399;83,4487708;85,11181565;32,39286061;91,40872268;317,4225291;39,53663069;0
('ш', 'о', ' ');66,6888963;163,033352;0;58,19028222;68,27181284;0;0;98,59793733;19,37533907;42,24281168;14,61432789;21,98381991;60,31908798;16,68975416;0;129,5714425;22,85218067;0;0;0
('ч', 'е', '?');0;0;0;0;0;0;0;19,71958747;0;7,040468614;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('р', 'а', ',');0;372,6476616;228,2844424;116,3805644;182,0581676;0;351,1757635;98,59793733;38,75067814;133,7689037;58,45731155;87,93527963;301,5954399;66,75901664;170,2236313;32,39286061;62,84349684;92,58157098;79,07326138;0
('р', 'ч', 'у');0;0;0;58,19028222;0;0;54,02704053;0;0;21,12140584;29,22865577;0;0;16,68975416;0;64,78572123;22,85218067;79,35563227;0;0
(' ', 'к', 'э');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,22593871;79,07326138;0
('е', 'з', 'ё');66,6888963;0;0;0;0;0;0;0;0;28,16187445;0;0;60,31908798;0;0;0;11,42609033;0;0;0
('п', 'у', '»');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('г', 'о', 'й');200,0666889;23,29047885;114,1422212;116,3805644;22,75727095;0;27,01352027;59,1587624;38,75067814;49,2832803;160,7576068;65,95145973;150,7977199;33,37950832;21,27795391;0;142,8261292;145,4853258;39,53663069;0
('а', 'ш', '…');0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,55590782;0;0;0;0;0
('т', 'у', 'м');0;11,64523943;0;58,19028222;0;91,97939662;0;0;0;56,32374891;204,6005904;10,99190995;0;0;21,27795391;32,39286061;11,42609033;13,22593871;39,53663069;0
('ж', 'р', 'и');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
(' ', 'ж', 'и');1600,533511;896,6834358;570,711106;814,6639511;910,2908379;643,8557763;1161,581371;453,5505117;1336,898396;647,7231125;1446,818461;824,3932466;1025,424496;1301,800824;340,4472626;1133,750121;468,4697037;542,2634872;593,0494603;713,7758744
('я', 'в', 'л');0;0;114,1422212;0;22,75727095;0;27,01352027;98,59793733;19,37533907;7,040468614;14,61432789;32,97572986;0;0;21,27795391;0;28,56522584;0;0;0
('г', '\n', 'А');0;0;0;0;0;0;0;0;38,75067814;14,08093723;14,61432789;0;0;0;0;32,39286061;0;0;0;0
('ь', 'м', 'у');66,6888963;81,51667598;0;0;0;0;13,50676013;19,71958747;19,37533907;14,08093723;0;54,95954977;0;100,138525;85,11181565;32,39286061;11,42609033;0;0;64,88871585
('э', 'т', ')');0;0;0;0;0;0;0;0;0;0;58,45731155;0;0;0;0;0;0;0;0;0
(' ', 'э', 'ш');0;0;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('ш', 'е', 'н');0;81,51667598;0;116,3805644;136,5436257;91,97939662;94,54732093;39,43917493;58,12601721;105,6070292;102,3002952;230,830109;301,5954399;50,06926248;212,7795391;0;154,2522195;52,90375484;118,6098921;129,7774317
('е', 'б', 'ё');0;0;0;0;22,75727095;0;0;19,71958747;77,50135627;14,08093723;0;21,98381991;0;16,68975416;0;97,17858184;28,56522584;26,45187742;0;0
('Л', 'а', 'б');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('з', 'д', 'н');200,0666889;104,8071548;0;0;0;0;94,54732093;118,3175248;0;183,052184;160,7576068;10,99190995;271,4358959;66,75901664;85,11181565;0;57,13045167;26,45187742;237,2197841;0
('р', 'ж', 'д');0;0;0;0;0;0;0;39,43917493;0;7,040468614;0;0;0;0;0;0;11,42609033;0;0;0
('ш', 'э', 'й');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
(' ', '«', 'г');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('а', 'б', 'з');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('Ч', 'и', 'т');0;23,29047885;0;0;45,5145419;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('а', 'ч', '-');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('И', '-', 'е');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('б', 'ь', 'я');0;0;0;0;0;0;0;0;19,37533907;7,040468614;0;0;0;0;0;0;0;0;0;0
('у', 'х', 'в');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('н', 'и', 'р');0;0;0;116,3805644;0;0;13,50676013;0;19,37533907;0;0;21,98381991;0;0;0;0;11,42609033;13,22593871;158,1465228;0
('о', 'л', ':');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('з', 'е', 'н');0;11,64523943;0;0;0;91,97939662;40,5202804;0;38,75067814;28,16187445;0;10,99190995;0;0;0;0;5,713045167;13,22593871;0;0
('С', 'л', 'я');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('п', 'р', 'у');0;11,64523943;0;290,9514111;0;91,97939662;27,01352027;19,71958747;19,37533907;49,2832803;0;54,95954977;0;0;42,55590782;0;22,85218067;52,90375484;79,07326138;0
('е', '\n', 'Й');0;0;0;0;0;0;0;0;0;14,08093723;0;21,98381991;0;0;0;0;0;0;0;0
('а', 'л', 'с');200,0666889;291,1309857;342,4266636;0;250,3299804;275,9381898;94,54732093;354,9525744;155,0027125;246,4164015;263,057902;329,7572986;361,9145279;116,8282791;170,2236313;129,5714425;171,391355;145,4853258;158,1465228;194,6661476
('х', '\n', 'Э');0;11,64523943;0;0;22,75727095;0;0;19,71958747;38,75067814;7,040468614;0;32,97572986;30,15954399;33,37950832;0;0;0;0;0;0
('у', 'д', 'р');0;11,64523943;0;0;0;0;67,53380067;118,3175248;38,75067814;35,20234307;14,61432789;54,95954977;0;0;21,27795391;0;5,713045167;0;39,53663069;0
('м', 'а', 'я');0;209,6143097;0;58,19028222;0;0;0;138,0371123;77,50135627;28,16187445;58,45731155;65,95145973;0;66,75901664;0;32,39286061;85,69567751;13,22593871;197,6831534;0
('п', '\n', 'М');0;0;0;0;22,75727095;0;0;0;19,37533907;0;0;0;0;0;0;0;0;26,45187742;0;0
('?', '\n', 'В');0;58,22619713;0;0;22,75727095;0;54,02704053;19,71958747;77,50135627;112,6474978;131,528951;65,95145973;0;33,37950832;21,27795391;97,17858184;62,84349684;119,0334484;79,07326138;0
('х', 'и', 'ж');0;0;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;0;0;0;0
('о', 'ш', 'ь');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;11,42609033;13,22593871;0;0
('е', 'л', 'я');66,6888963;93,16191541;228,2844424;58,19028222;136,5436257;91,97939662;67,53380067;177,4762872;542,5094939;112,6474978;58,45731155;219,8381991;211,1168079;66,75901664;21,27795391;64,78572123;194,2435357;66,12969356;39,53663069;0
('й', ' ', 'к');466,8222741;1176,169182;228,2844424;407,3319756;273,0872514;183,9587932;405,202804;216,9154621;465,0081376;246,4164015;306,9008856;494,6359479;422,2336158;166,8975416;234,057493;97,17858184;405,6262069;251,2928355;553,5128296;259,5548634
('о', 'л', 'ы');0;23,29047885;228,2844424;58,19028222;68,27181284;91,97939662;54,02704053;19,71958747;77,50135627;49,2832803;14,61432789;32,97572986;60,31908798;16,68975416;0;97,17858184;57,13045167;26,45187742;0;0
('д', 'н', 'о');266,7555852;489,1000559;456,5688848;581,9028222;728,2326703;459,8969831;337,6690033;828,2226736;290,630086;535,0756146;394,586853;461,6602181;271,4358959;400,5540998;425,5590782;259,1428849;571,3045167;952,2675872;632,586091;324,4435793
('Г', 'о', 'с');0;0;342,4266636;0;0;0;40,5202804;19,71958747;348,7561032;35,20234307;0;10,99190995;0;0;42,55590782;0;11,42609033;26,45187742;0;0
('а', 'м', 'р');0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('и', '*', '\n');0;0;0;0;0;0;0;0;0;0;0;43,96763982;0;0;0;0;0;0;0;0
('м', 'п', '\n');0;0;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;5,713045167;26,45187742;79,07326138;0
('г', 'н', 'у');0;11,64523943;0;0;45,5145419;91,97939662;40,5202804;19,71958747;19,37533907;35,20234307;58,45731155;76,94336968;60,31908798;0;42,55590782;0;39,99131617;26,45187742;0;0
('с', 'а', 'т');66,6888963;0;0;116,3805644;68,27181284;0;67,53380067;216,9154621;116,2520344;56,32374891;29,22865577;76,94336968;90,47863196;33,37950832;0;32,39286061;39,99131617;39,67781613;39,53663069;64,88871585
('о', 'б', 'я');0;0;0;0;22,75727095;0;0;118,3175248;0;7,040468614;58,45731155;43,96763982;0;16,68975416;0;0;22,85218067;13,22593871;0;0
('У', 'л', 'ь');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
(' ', 'Ц', 'у');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('к', 'е', 'а');0;11,64523943;0;349,1416933;0;275,9381898;121,5608412;39,43917493;19,37533907;0;14,61432789;0;0;0;0;0;0;0;0;0
('к', 'в', '\n');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,85218067;0;0;0
('.', 'О', 'р');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('Г', 'у', 'г');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;39,53663069;0
('о', 'в', '»');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;21,27795391;0;5,713045167;0;0;0
('у', 'с', 'р');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('«', 'й', 'о');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('ж', 'н', 'ё');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('е', 'д', 'н');66,6888963;454,1643376;0;232,7611289;227,5727095;91,97939662;189,0946419;295,793812;251,8794079;140,8093723;175,3719346;164,8786493;150,7977199;433,9336082;255,3354469;0;188,5304905;13,22593871;0;0
('у', 'ф', ',');0;0;0;0;0;0;0;78,87834986;0;0;0;0;0;0;0;0;0;0;0;0
('О', 'с', 'т');0;93,16191541;114,1422212;0;91,02908379;91,97939662;40,5202804;19,71958747;387,5067814;63,36421752;116,9146231;43,96763982;30,15954399;33,37950832;127,6677235;161,9643031;119,9739485;13,22593871;316,2930455;64,88871585
('\n', '*', 'З');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('щ', 'е', ' ');66,6888963;58,22619713;0;174,5708467;227,5727095;91,97939662;67,53380067;433,8309243;193,7533907;154,8903095;131,528951;439,6763982;150,7977199;133,5180333;0;97,17858184;159,9652647;185,163142;237,2197841;129,7774317
('ж', 'н', 'о');66,6888963;337,7119434;228,2844424;465,5222578;250,3299804;91,97939662;162,0811216;532,4288616;96,87669534;464,6709285;701,4877386;945,3042561;573,0313358;534,0721331;191,5015852;259,1428849;251,3739874;502,585671;672,1227217;64,88871585
(' ', 'и', 'д');0;151,3881125;114,1422212;58,19028222;341,3590642;91,97939662;148,5743615;197,1958747;38,75067814;211,2140584;292,2865577;175,8705593;422,2336158;417,243854;63,83386174;259,1428849;102,834813;119,0334484;118,6098921;324,4435793
('с', ' ', '8');0;0;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('б', 'з', 'о');0;0;0;0;0;0;0;0;0;7,040468614;0;10,99190995;0;0;0;0;28,56522584;0;0;0
('о', 'а', 'п');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('з', 'ь', '\n');0;23,29047885;0;0;0;91,97939662;13,50676013;0;0;14,08093723;43,84298366;0;0;0;21,27795391;0;51,41740651;92,58157098;0;0
('!', '\n', '-');0;0;0;0;0;0;0;157,7566997;0;0;14,61432789;0;0;0;0;0;11,42609033;0;0;0
('я', 'б', 'а');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('ж', ' ', 'в');0;0;0;0;22,75727095;0;0;0;38,75067814;28,16187445;0;32,97572986;60,31908798;0;21,27795391;0;5,713045167;13,22593871;0;0
('ф', 'ь', 'я');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('Д', 'е', 'д');0;0;0;0;0;0;121,5608412;0;0;7,040468614;0;10,99190995;0;0;0;0;17,1391355;0;0;0
('г', 'к', 'е');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
"('т', 'е', '""')";0;0;0;0;0;0;0;19,71958747;0;0;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('б', 'о', 'з');66,6888963;0;0;0;0;0;0;0;38,75067814;7,040468614;0;10,99190995;0;0;0;0;0;0;0;259,5548634
('(', 'О', 'п');0;0;0;0;0;0;27,01352027;0;0;0;0;0;0;0;0;0;0;0;0;0
('ж', 'а', 'к');0;0;114,1422212;0;0;0;0;19,71958747;0;14,08093723;29,22865577;10,99190995;30,15954399;0;0;0;5,713045167;0;39,53663069;0
('(', 'я', ' ');0;0;228,2844424;0;136,5436257;0;13,50676013;0;58,12601721;0;14,61432789;0;0;33,37950832;42,55590782;0;0;39,67781613;0;194,6661476
('й', 'п', 'у');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('м', ' ', 'п');133,3777926;395,9381405;342,4266636;581,9028222;341,3590642;551,8763797;405,202804;709,9051488;406,8821204;732,2087358;511,501476;472,652128;301,5954399;367,1745915;255,3354469;291,5357455;599,8697426;568,7153646;553,5128296;324,4435793
('й', 'н', 'е');66,6888963;11,64523943;114,1422212;0;91,02908379;0;0;39,43917493;0;49,2832803;0;109,9190995;30,15954399;0;85,11181565;32,39286061;131,4000388;13,22593871;0;0
('м', ':', '\n');0;34,93571828;0;0;0;0;0;19,71958747;0;7,040468614;14,61432789;0;0;0;0;0;57,13045167;0;0;0
('э', '\n', 'З');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('\n', 'Б', 'р');0;34,93571828;228,2844424;0;409,6308771;183,9587932;27,01352027;39,43917493;0;28,16187445;43,84298366;87,93527963;0;33,37950832;0;0;28,56522584;105,8075097;39,53663069;64,88871585
('(', 'ж', 'ё');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('д', 'у', ':');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('Н', 'о', 'ч');0;58,22619713;342,4266636;0;45,5145419;0;0;0;19,37533907;42,24281168;102,3002952;32,97572986;0;16,68975416;106,3897696;0;5,713045167;13,22593871;39,53663069;0
"('о', 'м', ';')";0;0;0;0;0;0;0;0;0;0;0;21,98381991;0;0;0;0;0;0;0;0
('н', 'е', 'й');66,6888963;314,4214645;228,2844424;116,3805644;273,0872514;91,97939662;310,6554831;295,793812;213,1287298;394,2662424;336,1295414;340,7492086;241,2763519;350,4848374;212,7795391;64,78572123;468,4697037;238,0668968;395,3663069;194,6661476
('х', 'о', 'ф');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('О', 'х', 'л');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('Р', 'в', 'е');0;11,64523943;0;0;0;0;13,50676013;0;0;0;0;0;0;16,68975416;0;0;0;0;0;0
('ш', ' ', 'д');0;11,64523943;0;0;0;0;0;0;0;7,040468614;0;32,97572986;0;0;21,27795391;0;11,42609033;13,22593871;0;0
('\n', 'У', 'з');0;0;0;0;0;0;0;0;19,37533907;14,08093723;0;10,99190995;90,47863196;0;0;0;5,713045167;0;0;0
('\n', 'У', 'ч');0;11,64523943;0;0;22,75727095;0;13,50676013;19,71958747;0;7,040468614;0;0;0;0;42,55590782;32,39286061;11,42609033;0;0;0
('-', 'ц', ',');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,88871585
('з', 'г', 'о');0;93,16191541;228,2844424;116,3805644;68,27181284;0;27,01352027;19,71958747;38,75067814;56,32374891;102,3002952;54,95954977;60,31908798;0;21,27795391;0;22,85218067;92,58157098;39,53663069;0
('а', 'л', 'б');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('м', 'м', 'ы');0;0;0;0;22,75727095;0;0;0;19,37533907;0;0;0;0;0;21,27795391;0;5,713045167;0;0;0
('\n', '«', 'Ч');0;0;0;0;0;0;0;0;19,37533907;0;0;21,98381991;0;0;0;0;0;13,22593871;0;0
('э', 'т', 'ч');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('р', 'ы', 'г');66,6888963;23,29047885;0;0;136,5436257;643,8557763;27,01352027;59,1587624;38,75067814;21,12140584;102,3002952;32,97572986;120,638176;0;63,83386174;64,78572123;34,278271;92,58157098;0;129,7774317
('р', 'ю', '.');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('з', 'м', ',');0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('э', 'з', '\n');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
