('с', 'к')	2232.702786451748		2151.7554655882773
('х', ' ')	2219.4734627398643		2376.2930893408566
('Я', ' ')	2215.402901597746		2182.201245080152
('ч', 'е')	2194.0324556016267		2379.337667290044
('\n', 'Я')	2189.9618944595086		2135.010286867746
('в', 'и')	2178.259031175919		1743.78202039715
('е', 'в')	2176.732570747625		1033.634213749162
('д', 'и')	2168.5914484633886		2154.8000435374647
('й', '\n')	2159.432685893623		1654.7281153834151
('а', 'й')	2143.6592614679153		1877.7434501614007
('м', 'а')	2127.3770168994433		2734.7921428576865
('И', ' ')	2118.7270744724424		1400.5058566262576
('и', 'м')	2086.162585335498		2356.5033326711377
('а', 'я')	2085.1449450499686		1204.1305789036628
('к', 'и')	2067.845060195967		2804.0562912017026
('м', 'и')	2027.6482689175514		2311.595807920622
('е', 'й')	2027.1394487747866		1872.4154387503227
('ь', ',')	2020.524786918845		1828.2690584871036
('ч', 'т')	2020.0159667760797		2068.029571985621
('а', 'в')	2010.3483840635495		2579.5186674491233
('а', 'д')	2010.3483840635495		1992.6762677432296
('д', 'у')	1988.469117924665		1934.8292867086666
('о', 'ж')	1987.9602977819002		1582.4193890902118
('\n', 'С')	1974.2221539272518		1686.696183849884
('т', 'в')	1956.9222690732502		1545.8844536999616
('с', 'ь')	1947.25468636072		1674.5178720531342
('с', 'о')	1938.6047439337192		1958.4247658148697
('е', '\n')	1938.6047439337192		1671.4732941039465
('б', 'я')	1931.9900820777773		983.3986775875678
('с', 'н')	1893.8285713704206		1169.879076975303
('н', 'ь')	1883.1433483723608		1471.2922939448672
(' ', '-')	1872.4581253743008		497.027350204862
('е', 'з')	1865.843463518359		1329.7194193076477
('.', '.')	1854.1406002347696		614.2436012485814
('П', 'р')	1842.43773695118		595.2149890661594
('х', 'о')	1841.4200966656508		2099.2364959647925
('а', 'р')	1835.8230750952384		2465.3469943545915
('е', 'г')	1823.6113916688844		1650.1612484596337
('о', 'к')	1802.7497658155291		2154.038899050168
('н', 'у')	1774.255837820703		1934.8292867086666
('ы', 'й')	1749.8324709679946		2038.3449369810423
('я', ',')	1714.215060974462		1251.3215371160693
('ж', 'и')	1713.706240831697		1787.9284006603689
('к', 'р')	1703.529837976402		1830.5524919489942
('е', 'ч')	1699.4592768342839		999.3827118208022
('\n', 'М')	1686.7387732651648		1781.839244761994
('з', 'н')	1671.4741689822224		1745.3043093717438
('ж', 'д')	1651.1213632716322		858.5709816708796
('с', 'в')	1641.9626007018667		1175.2070883863812
('г', 'д')	1641.4537805591017		1398.2224231643668
('у', 'т')	1637.8920395597484		2015.5106023621358
